family,method,run,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean
actual,actual_llm_a1p25,0,2.4819721682131193,3.660097425990767,-0.5403961309874763,0.22438870069378725,3.2915175511924795
actual,actual_global_a1p25,0,2.5223318534003862,3.74318710760424,-0.7477032335355454,0.18877391201741633,3.0842104486444106
actual,actual_gated_a1_d0p15,0,2.5022798344366266,3.6038437644867813,-0.02303800763786456,0.24804691441817728,3.808875674542091
actual,actual_global_a1,0,2.5530939127554286,3.627152033492549,0.12287415524008434,0.2382887761693906,3.9547878374200405
permutation,permuted_llm_a1p25,1,2.6584715564760275,3.905055429364869,-0.6500308078174103,0.11709649420660251,3.181882874362546
permutation,permuted_gated_a1_d0p15,1,2.5798104850958916,3.690171397644658,0.0044647172468703835,0.21159038422829823,3.836378399426826
permutation,permuted_llm_a1p25,2,2.645794367931712,3.8589239716164854,-0.6312335010045217,0.13783322973222756,3.200680181175434
permutation,permuted_gated_a1_d0p15,2,2.580083324173339,3.676990683878012,0.01784243273209173,0.2172124767631024,3.849756114912048
permutation,permuted_llm_a1p25,3,2.652055330246315,3.8806356248048246,-0.6303126292673523,0.12810423478757726,3.2016010529126038
permutation,permuted_gated_a1_d0p15,3,2.568500549843837,3.6652219712115652,0.028911423627853858,0.22221529534702456,3.86082510580781
permutation,permuted_llm_a1p25,4,2.621942487654316,3.8437898477818706,-0.6438679571226245,0.1445825475923156,3.1880457250573313
permutation,permuted_gated_a1_d0p15,4,2.5748056116167928,3.6725819364039807,0.011492892447277055,0.219088491065894,3.8434065746272332
permutation,permuted_llm_a1p25,5,2.652582798719289,3.88648906251076,-0.6519718104972775,0.12547196673000927,3.179941871682679
permutation,permuted_gated_a1_d0p15,5,2.5891857725261356,3.6926628254524623,0.013249203058529035,0.21052543167287607,3.8451628852384854
permutation,permuted_llm_a1p25,6,2.631088863682556,3.895938906006685,-0.6544705487260681,0.12121403629781136,3.1774431334538877
permutation,permuted_gated_a1_d0p15,6,2.573231746983807,3.691239360448889,0.016792429409431237,0.2111339750847845,3.848706111589387
permutation,permuted_llm_a1p25,7,2.6526851963258613,3.8729305055873255,-0.6482925991133456,0.13156314822793547,3.1836210830666105
permutation,permuted_gated_a1_d0p15,7,2.5875504005987504,3.6882981354099162,0.012963430074203605,0.2123906305782165,3.844877112254159
permutation,permuted_llm_a1p25,8,2.6201499530844496,3.866863297420016,-0.6725301436673521,0.13428194735923615,3.1593835385126043
permutation,permuted_gated_a1_d0p15,8,2.5654549606018433,3.672296482311613,0.002985873530090802,0.21920988017403154,3.834899555710047
permutation,permuted_llm_a1p25,9,2.636522072230556,3.862862765117534,-0.6451747783173524,0.13607230881851007,3.1867389038626035
permutation,permuted_gated_a1_d0p15,9,2.5763822889923684,3.6749969916205365,0.018348819829107483,0.21806111330517375,3.8502625020090635
permutation,permuted_llm_a1p25,10,2.604799103488766,3.8283007229382062,-0.6274695704547147,0.1514627218373762,3.204444111725241
permutation,permuted_gated_a1_d0p15,10,2.5735655456202706,3.666806030701699,0.034261541472227264,0.2215428539551384,3.8661752236521836
permutation,permuted_llm_a1p25,11,2.6461714322627317,3.8825094627647974,-0.655331516308581,0.12726200892900352,3.176582165871375
permutation,permuted_gated_a1_d0p15,11,2.591061391845407,3.6882083063270055,0.017057489213265165,0.21242899481190003,3.848971171393221
