subgroup_column,subgroup_value,rows,weight_sum,abs_weighted_bias_cohort_trip_suppression_a1,abs_weighted_bias_global_trip_suppression_a1,abs_weighted_bias_global_trip_suppression_a1p25,abs_weighted_bias_historical_xgboost,abs_weighted_bias_primary_gated_adapter,weighted_bias_cohort_trip_suppression_a1,weighted_bias_global_trip_suppression_a1,weighted_bias_global_trip_suppression_a1p25,weighted_bias_historical_xgboost,weighted_bias_primary_gated_adapter,weighted_mae_cohort_trip_suppression_a1,weighted_mae_global_trip_suppression_a1,weighted_mae_global_trip_suppression_a1p25,weighted_mae_historical_xgboost,weighted_mae_primary_gated_adapter,weighted_rmse_cohort_trip_suppression_a1,weighted_rmse_global_trip_suppression_a1,weighted_rmse_global_trip_suppression_a1p25,weighted_rmse_historical_xgboost,weighted_rmse_primary_gated_adapter,primary_vs_history_mae_delta,primary_vs_global_a1_mae_delta,primary_vs_global_a1p25_mae_delta,cohort_a1_vs_global_a1_mae_delta,primary_vs_global_a1_abs_bias_delta,primary_beats_global_a1,primary_beats_global_a1p25
HHFAMINC,1,300,7385631.213695964,0.7033809481198,1.7423276364282732,1.0751479053161372,4.411046527376085,0.7866838446786224,0.7033809481198,1.7423276364282732,1.0751479053161372,4.411046527376085,0.7866838446786224,1.626461579677531,2.2236631200814343,1.7971404735049565,4.53848906912435,1.6721806054226938,2.2348078263720272,2.8589907926673535,2.3213607712214284,5.613449083402732,2.298032149809568,2.8663084637016563,0.5514825146587405,0.12495986808226278,0.5972015404039033,0.9556437917496508,True,True
HHVEHCNT,0,476,10712489.268148404,0.243726211125341,0.8757405821840643,0.3395481184851415,3.02051043080902,0.23560677995532953,-0.243726211125341,0.8757405821840643,0.3395481184851415,3.02051043080902,-0.23560677995532953,1.425965839004212,1.747932012676762,1.544881244908364,3.2940542252334657,1.4329291352316649,1.9846612140599325,2.249947116534314,2.0239733767520645,4.085218061263742,2.000708993072601,1.8611250900018008,0.31500287744509703,0.11195210967669911,0.32196617367254987,0.6401338022287347,True,True
HHFAMINC,2,242,5158270.638978538,0.009815117080554358,0.8797829674393634,0.27019766018265634,3.3181242182829087,0.03629322679470368,0.009815117080554358,0.8797829674393634,0.27019766018265634,3.3181242182829087,0.03629322679470368,1.8794549474903768,2.1341859834601324,1.9283719291090993,3.6735767909235877,1.8787067194437883,2.9078067860088113,2.9154761970272594,2.818587460702758,4.568325586202922,2.9042502264850523,1.7948700714797994,0.25547926401634413,0.04966520966531096,0.25473103596975566,0.8434897406446596,True,True
WRKCOUNT,0,2758,43369247.00021003,0.4399178910676315,0.6905319153259456,0.03496757666198516,3.3127892746294365,0.3981873027039279,0.4399178910676315,0.6905319153259456,0.03496757666198516,3.3127892746294365,0.3981873027039279,2.095581928294794,2.18802724465089,2.0426443775727443,3.7958641290321573,2.0709903948430934,2.7736891903385215,2.850428749819229,2.7142427448244066,4.657050870858809,2.758257936956009,1.7248737341890639,0.11703684980779672,-0.028346017270349133,0.0924453163560961,0.2923446126220177,True,False
HHSIZE,5,343,7521882.49142153,0.32269638399784634,0.272094868951605,1.8001395534440434,5.840083897323465,0.4083473728043479,0.32269638399784634,-0.272094868951605,-1.8001395534440434,5.840083897323465,-0.4083473728043479,4.750535471952468,4.808312569200521,4.734764203833489,7.473354137571705,4.70907790735122,6.216401142357046,6.338461748545015,6.614148955271274,8.692325109504734,6.28814287912884,2.764276230220485,0.09923466184930163,0.025686296482269277,0.05777709724805291,-0.1362525038527429,True,True
HHSIZE,4,786,15515882.315177334,0.3927391445430218,0.13238805000496667,1.423783495473166,5.033193729651026,0.2620502920896849,0.3927391445430218,-0.13238805000496667,-1.423783495473166,5.033193729651026,-0.2620502920896849,3.6145130452384953,3.6503392746802987,3.7013252087498425,6.137309565327825,3.561921406879212,4.7696801020096125,4.892627317077467,5.138210351744362,7.017456346673153,4.82849206716281,2.5753881584486127,0.08841786780108674,0.1394038018706305,0.03582622944180347,-0.12966224208471822,True,True
HHFAMINC,5,824,13569737.559333522,0.5501450726345131,0.5895990413387718,0.2026463917614401,3.7585807862829785,0.41940052456356974,0.5501450726345131,0.5895990413387718,-0.2026463917614401,3.7585807862829785,0.41940052456356974,2.3414854842702644,2.3498521233620004,2.2242031470253876,4.278131228056276,2.265014277044657,3.216141474765211,3.2342884154305787,3.1689622564019726,5.219018451984188,3.1646086755608005,2.0131169510116194,0.08483784631734359,-0.04081113001926928,0.008366639091736072,0.1701985167752021,True,False
HHVEHCNT,1,2623,42271037.00351419,0.08642146232389447,0.41769318769355285,0.24783026417568965,3.079786984366844,0.19993221906012695,0.08642146232389447,0.41769318769355285,-0.24783026417568965,3.079786984366844,0.19993221906012695,1.9756310409615905,2.0650909574923464,1.9808676183764664,3.54487623384552,1.994850226744348,2.741037890071161,2.7898034371574525,2.7614992700630077,4.394623968129482,2.7622705128042537,1.5500260071011722,0.07024073074799841,-0.013982608367881566,0.08945991653075591,0.2177609686334259,True,False
CENSUS_R,1,1363,22465587.35554148,0.0869091720265325,0.019731526000244762,0.8169922040851877,3.366626452054733,0.21607469237335683,0.0869091720265325,0.019731526000244762,-0.8169922040851877,3.366626452054733,-0.21607469237335683,2.468212541942466,2.485661717588466,2.459338807560631,4.128547263733302,2.4160301702602545,3.447074668616304,3.496401175040776,3.6476418116638176,4.999645941640597,3.466281164908239,1.7125170934730476,0.06963154732821142,0.043308637300376596,0.017449175646000015,-0.19634316637311205,True,True
CENSUS_R,4,1754,28614362.491326496,0.21867423268209407,0.0654267391485736,0.9472798248687377,3.461985590916318,0.18182708283998328,0.21867423268209407,-0.0654267391485736,-0.9472798248687377,3.461985590916318,-0.18182708283998328,2.551402391746962,2.581480912319827,2.6079684152875044,4.202172596734363,2.5175193438717924,3.5394741891311843,3.658673520088898,3.8363578546428947,5.1856049476041886,3.609391770720888,1.6846532528625708,0.06396156844803436,0.09044907141571201,0.030078520572864864,-0.11640034369140968,True,True
