method,rows,weight_sum,weighted_mae,weighted_rmse,weighted_bias,abs_weighted_bias,weighted_target_mean,weighted_prediction_mean,subgroup_column,subgroup_value
historical_xgboost,2758,43369247.00021003,3.7958641290321573,4.657050870858809,3.3127892746294365,3.3127892746294365,2.2875122074459955,5.600301482075433,WRKCOUNT,0
global_trip_suppression_a1,2758,43369247.00021003,2.18802724465089,2.850428749819229,0.6905319153259456,0.6905319153259456,2.2875122074459955,2.9780441227719407,WRKCOUNT,0
global_trip_suppression_a1p25,2758,43369247.00021003,2.0426443775727443,2.7142427448244066,0.03496757666198516,0.03496757666198516,2.2875122074459955,2.3224797841079803,WRKCOUNT,0
cohort_trip_suppression_a1,2758,43369247.00021003,2.095581928294794,2.7736891903385215,0.4399178910676315,0.4399178910676315,2.2875122074459955,2.727430098513627,WRKCOUNT,0
primary_gated_adapter,2758,43369247.00021003,2.0709903948430934,2.758257936956009,0.3981873027039279,0.3981873027039279,2.2875122074459955,2.6856995101499233,WRKCOUNT,0
historical_xgboost,2790,45309376.45428127,4.081653120260532,5.01290066007254,3.417228240043653,3.417228240043653,3.5162877007562527,6.933515940799906,WRKCOUNT,1
global_trip_suppression_a1,2790,45309376.45428127,2.3157607031431486,3.361828901148422,0.17071316516690163,0.17071316516690163,3.5162877007562527,3.687000865923154,WRKCOUNT,1
global_trip_suppression_a1p25,2790,45309376.45428127,2.2479449691048607,3.4369758919860938,-0.6409156057292238,0.6409156057292238,3.5162877007562527,2.8753720950270285,WRKCOUNT,1
cohort_trip_suppression_a1,2790,45309376.45428127,2.3612183226127943,3.3897491058458256,0.3163571191694752,0.3163571191694752,3.5162877007562527,3.832644819925728,WRKCOUNT,1
primary_gated_adapter,2790,45309376.45428127,2.285844825150669,3.339674279085721,0.05302958400814557,0.05302958400814557,3.5162877007562527,3.5693172847643986,WRKCOUNT,1
historical_xgboost,2026,32224592.582005654,5.029577024538831,6.007224972846342,3.9853627699294862,3.9853627699294862,5.599938828720369,9.585301598649854,WRKCOUNT,2
global_trip_suppression_a1,2026,32224592.582005654,3.0893262812231206,4.396194545057763,-0.5028112579088281,0.5028112579088281,5.599938828720369,5.097127570811542,WRKCOUNT,2
global_trip_suppression_a1p25,2026,32224592.582005654,3.218428775538756,4.6943215429874225,-1.6248547624975307,1.6248547624975307,5.599938828720369,3.975084066222839,WRKCOUNT,2
cohort_trip_suppression_a1,2026,32224592.582005654,3.165721413480187,4.375156545073408,0.06570903880548655,0.06570903880548655,5.599938828720369,5.6656478675258555,WRKCOUNT,2
primary_gated_adapter,2026,32224592.582005654,3.0827859464820637,4.418585517738671,-0.5315509606195533,0.5315509606195533,5.599938828720369,5.068387868100816,WRKCOUNT,2
historical_xgboost,266,5430724.960110581,6.094685476766037,7.119696420827268,4.698129954651637,4.698129954651637,7.415066036008874,12.113195990660511,WRKCOUNT,3
global_trip_suppression_a1,266,5430724.960110581,3.7479024207861755,5.272204386335676,-0.9736927674006265,0.9736927674006265,7.415066036008874,6.441373268608246,WRKCOUNT,3
global_trip_suppression_a1p25,266,5430724.960110581,3.988718631758865,5.7254432916931135,-2.391648475491914,2.391648475491914,7.415066036008874,5.023417560516959,WRKCOUNT,3
cohort_trip_suppression_a1,266,5430724.960110581,3.8148661704529125,5.245726301059601,0.05929009787534396,0.05929009787534396,7.415066036008874,7.474356133884217,WRKCOUNT,3
primary_gated_adapter,266,5430724.960110581,3.7974346890334227,5.315734627856559,-0.9339439196931458,0.9339439196931458,7.415066036008874,6.481122116315727,WRKCOUNT,3
historical_xgboost,476,10712489.268148404,3.2940542252334657,4.085218061263742,3.02051043080902,3.02051043080902,1.560030731758171,4.580541162567191,HHVEHCNT,0
global_trip_suppression_a1,476,10712489.268148404,1.747932012676762,2.249947116534314,0.8757405821840643,0.8757405821840643,1.560030731758171,2.4357713139422352,HHVEHCNT,0
global_trip_suppression_a1p25,476,10712489.268148404,1.544881244908364,2.0239733767520645,0.3395481184851415,0.3395481184851415,1.560030731758171,1.8995788502433122,HHVEHCNT,0
cohort_trip_suppression_a1,476,10712489.268148404,1.425965839004212,1.9846612140599325,-0.243726211125341,0.243726211125341,1.560030731758171,1.31630452063283,HHVEHCNT,0
primary_gated_adapter,476,10712489.268148404,1.4329291352316649,2.000708993072601,-0.23560677995532953,0.23560677995532953,1.560030731758171,1.3244239518028413,HHVEHCNT,0
historical_xgboost,2623,42271037.00351419,3.54487623384552,4.394623968129482,3.079786984366844,3.079786984366844,2.6055923699611636,5.685379354328008,HHVEHCNT,1
global_trip_suppression_a1,2623,42271037.00351419,2.0650909574923464,2.7898034371574525,0.41769318769355285,0.41769318769355285,2.6055923699611636,3.0232855576547166,HHVEHCNT,1
global_trip_suppression_a1p25,2623,42271037.00351419,1.9808676183764664,2.7614992700630077,-0.24783026417568965,0.24783026417568965,2.6055923699611636,2.357762105785474,HHVEHCNT,1
cohort_trip_suppression_a1,2623,42271037.00351419,1.9756310409615905,2.741037890071161,0.08642146232389447,0.08642146232389447,2.6055923699611636,2.6920138322850584,HHVEHCNT,1
primary_gated_adapter,2623,42271037.00351419,1.994850226744348,2.7622705128042537,0.19993221906012695,0.19993221906012695,2.6055923699611636,2.8055245890212905,HHVEHCNT,1
