subgroup_column,subgroup_value,method,rows,weight_sum,weighted_mae,weighted_bias
WRKCOUNT,0,historical_mean_only,2758,43369247.00021003,6.273580632327534,6.043891661526619
WRKCOUNT,0,historical_xgboost,2758,43369247.00021003,3.7958641290321573,3.3127892746294365
WRKCOUNT,0,llm_only_trip_suppression_a1p25,2758,43369247.00021003,2.138777498175521,0.4925747052900771
WRKCOUNT,0,global_trip_suppression_a1p25,2758,43369247.00021003,2.0426443775727443,0.03496757666198516
WRKCOUNT,0,llm_trip_suppression_a1p25,2758,43369247.00021003,1.950898934827701,-0.2748778377686166
WRKCOUNT,0,gated_trip_suppression_a1_d0p15,2758,43369247.00021003,2.0709903948430934,0.3981873027039279
WRKCOUNT,1,historical_mean_only,2790,45309376.45428127,5.569866100975804,4.815116168216361
WRKCOUNT,1,historical_xgboost,2790,45309376.45428127,4.081653120260532,3.417228240043653
WRKCOUNT,1,llm_only_trip_suppression_a1p25,2790,45309376.45428127,2.5533877640098765,0.042363965751047596
WRKCOUNT,1,global_trip_suppression_a1p25,2790,45309376.45428127,2.2479449691048607,-0.6409156057292238
WRKCOUNT,1,llm_trip_suppression_a1p25,2790,45309376.45428127,2.2986014257042346,-0.4576634922612605
WRKCOUNT,1,gated_trip_suppression_a1_d0p15,2790,45309376.45428127,2.285844825150669,0.05302958400814557
WRKCOUNT,2,historical_mean_only,2026,32224592.582005654,4.629748776498805,2.731465040252243
WRKCOUNT,2,historical_xgboost,2026,32224592.582005654,5.029577024538831,3.9853627699294862
WRKCOUNT,2,llm_only_trip_suppression_a1p25,2026,32224592.582005654,3.3730996198878604,-1.5452666242811104
WRKCOUNT,2,global_trip_suppression_a1p25,2026,32224592.582005654,3.218428775538756,-1.6248547624975307
WRKCOUNT,2,llm_trip_suppression_a1p25,2026,32224592.582005654,3.148380884732619,-0.9142043914927367
WRKCOUNT,2,gated_trip_suppression_a1_d0p15,2026,32224592.582005654,3.0827859464820637,-0.5315509606195533
WRKCOUNT,3,historical_mean_only,266,5430724.960110581,4.28755936896432,0.9163378329637387
WRKCOUNT,3,historical_xgboost,266,5430724.960110581,6.094685476766037,4.698129954651637
WRKCOUNT,3,llm_only_trip_suppression_a1p25,266,5430724.960110581,4.291248108625552,-3.0789194253325753
WRKCOUNT,3,global_trip_suppression_a1p25,266,5430724.960110581,3.988718631758865,-2.391648475491914
WRKCOUNT,3,llm_trip_suppression_a1p25,266,5430724.960110581,3.7774315323257017,-1.1004198915345809
WRKCOUNT,3,gated_trip_suppression_a1_d0p15,266,5430724.960110581,3.7974346890334227,-0.9339439196931458
HHVEHCNT,0,historical_mean_only,476,10712489.268148404,6.830537917629793,6.77137313721444
HHVEHCNT,0,historical_xgboost,476,10712489.268148404,3.2940542252334657,3.02051043080902
HHVEHCNT,0,llm_only_trip_suppression_a1p25,476,10712489.268148404,1.5303840939530666,-0.663118232871559
HHVEHCNT,0,global_trip_suppression_a1p25,476,10712489.268148404,1.544881244908364,0.3395481184851415
HHVEHCNT,0,llm_trip_suppression_a1p25,476,10712489.268148404,1.4569235579206419,-1.0408674879663082
HHVEHCNT,0,gated_trip_suppression_a1_d0p15,476,10712489.268148404,1.4329291352316649,-0.23560677995532953
HHVEHCNT,1,historical_mean_only,2623,42271037.00351419,6.063008610638675,5.725811499011449
HHVEHCNT,1,historical_xgboost,2623,42271037.00351419,3.54487623384552,3.079786984366844
HHVEHCNT,1,llm_only_trip_suppression_a1p25,2623,42271037.00351419,2.1774946419625607,0.2553377599705459
HHVEHCNT,1,global_trip_suppression_a1p25,2623,42271037.00351419,1.9808676183764664,-0.24783026417568965
HHVEHCNT,1,llm_trip_suppression_a1p25,2623,42271037.00351419,1.9572410096690875,-0.6619199208312553
HHVEHCNT,1,gated_trip_suppression_a1_d0p15,2623,42271037.00351419,1.994850226744348,0.19993221906012695
HHVEHCNT,2,historical_mean_only,3199,48347256.666449025,5.118833296102204,3.8130121766414247
HHVEHCNT,2,historical_xgboost,3199,48347256.666449025,4.724655462296371,3.8222492675269266
HHVEHCNT,2,llm_only_trip_suppression_a1p25,3199,48347256.666449025,3.0359894984613263,-0.5406153222781686
HHVEHCNT,2,global_trip_suppression_a1p25,3199,48347256.666449025,2.821749565990614,-1.059476118272716
HHVEHCNT,2,llm_trip_suppression_a1p25,3199,48347256.666449025,2.7683604764323992,-0.5228031243551454
HHVEHCNT,2,gated_trip_suppression_a1_d0p15,3199,48347256.666449025,2.7894053027274657,-0.08144701138624956
HHVEHCNT,3,historical_mean_only,1043,16859279.62179253,4.952154981900048,3.0457851427236777
HHVEHCNT,3,historical_xgboost,1043,16859279.62179253,5.2973697938689055,4.210391336547058
HHVEHCNT,3,llm_only_trip_suppression_a1p25,1043,16859279.62179253,3.521740324276764,-0.770311155623398
HHVEHCNT,3,global_trip_suppression_a1p25,1043,16859279.62179253,3.22162993168497,-1.3475644141520648
HHVEHCNT,3,llm_trip_suppression_a1p25,1043,16859279.62179253,3.214800517293153,-0.1262330192844745
HHVEHCNT,3,gated_trip_suppression_a1_d0p15,1043,16859279.62179253,3.221456033265956,-0.155295267655519
HHVEHCNT,4,historical_mean_only,360,6251993.794303581,4.372447483885775,2.178852195165026
HHVEHCNT,4,historical_xgboost,360,6251993.794303581,5.217972223759558,4.208200087268573
HHVEHCNT,4,llm_only_trip_suppression_a1p25,360,6251993.794303581,3.4727898848033703,-1.6839514578413841
HHVEHCNT,4,global_trip_suppression_a1p25,360,6251993.794303581,3.3237067251401955,-1.8558836122261773
HHVEHCNT,4,llm_trip_suppression_a1p25,360,6251993.794303581,3.166055691378093,-0.5886910598450023
HHVEHCNT,4,gated_trip_suppression_a1_d0p15,360,6251993.794303581,3.15793323015406,-0.5662521382855887
HHVEHCNT,5,historical_mean_only,122,1810760.2076290352,4.7250893274906485,2.3398976433584364
HHVEHCNT,5,historical_xgboost,122,1810760.2076290352,5.3879673557152445,4.123395240142873
HHVEHCNT,5,llm_only_trip_suppression_a1p25,122,1810760.2076290352,3.7971079003991393,-1.38241492806626
HHVEHCNT,5,global_trip_suppression_a1p25,122,1810760.2076290352,3.7593050044146086,-1.796793807425023
HHVEHCNT,5,llm_trip_suppression_a1p25,122,1810760.2076290352,3.6593106783880898,-0.40962122944139523
HHVEHCNT,5,gated_trip_suppression_a1_d0p15,122,1810760.2076290352,3.6855948993601877,-0.5115965120711025
URBRUR,1,historical_mean_only,6306,102919309.81442939,5.476227961473564,4.460499038158367
URBRUR,1,historical_xgboost,6306,102919309.81442939,4.275256843505037,3.5205641976557436
URBRUR,1,llm_only_trip_suppression_a1p25,6306,102919309.81442939,2.7290580187014637,-0.4594969994877513
URBRUR,1,global_trip_suppression_a1p25,6306,102919309.81442939,2.54344169975218,-0.8056167479448197
URBRUR,1,llm_trip_suppression_a1p25,6306,102919309.81442939,2.505344814170933,-0.636287751088466
URBRUR,1,gated_trip_suppression_a1_d0p15,6306,102919309.81442939,2.508761334705906,-0.1047166382122779
URBRUR,2,historical_mean_only,1587,24625397.18557062,5.659659451110288,4.662449674352287
URBRUR,2,historical_xgboost,1587,24625397.18557062,4.598609057904964,3.9588422370607996
URBRUR,2,llm_only_trip_suppression_a1p25,1587,24625397.18557062,2.669263705594762,-0.012782243616851168
URBRUR,2,global_trip_suppression_a1p25,1587,24625397.18557062,2.434105421359032,-0.5056596708217245
URBRUR,2,llm_trip_suppression_a1p25,1587,24625397.18557062,2.3842885994665233,-0.13962698708116883
URBRUR,2,gated_trip_suppression_a1_d0p15,1587,24625397.18557062,2.47519106947386,0.3183294093000931
RAIL,1,historical_mean_only,1808,30282605.18058914,5.380624768335078,4.476839269741259
RAIL,1,historical_xgboost,1808,30282605.18058914,4.018732497230875,3.3622139668894455
RAIL,1,llm_only_trip_suppression_a1p25,1808,30282605.18058914,2.68274433395373,-0.3364655342197307
RAIL,1,global_trip_suppression_a1p25,1808,30282605.18058914,2.4468973452279696,-0.8617217353525526
RAIL,1,llm_trip_suppression_a1p25,1808,30282605.18058914,2.402567472329266,-0.5994593123727358
RAIL,1,gated_trip_suppression_a1_d0p15,1808,30282605.18058914,2.377571516526743,-0.16965481121374132
RAIL,2,historical_mean_only,6085,97262101.81941086,5.5524363396785095,4.506542561409435
RAIL,2,historical_xgboost,6085,97262101.81941086,4.436994066057241,3.680832462735563
RAIL,2,llm_only_trip_suppression_a1p25,6085,97262101.81941086,2.728338728467053,-0.38470101144728475
RAIL,2,global_trip_suppression_a1p25,6085,97262101.81941086,2.545818424950627,-0.7122035152966217
RAIL,2,llm_trip_suppression_a1p25,6085,97262101.81941086,2.5066948600075696,-0.5220067793307247
RAIL,2,gated_trip_suppression_a1_d0p15,6085,97262101.81941086,2.5411078324045695,0.022611208608512044
HHFAMINC,-7,historical_mean_only,93,1600742.7281241086,5.782551531365509,5.399570293936248
HHFAMINC,-7,historical_xgboost,93,1600742.7281241086,4.190036292808106,3.9077316018867134
HHFAMINC,-7,llm_only_trip_suppression_a1p25,93,1600742.7281241086,2.560702821757163,1.0694184778200067
HHFAMINC,-7,global_trip_suppression_a1p25,93,1600742.7281241086,2.00724082567429,-0.09542344491494219
HHFAMINC,-7,llm_trip_suppression_a1p25,93,1600742.7281241086,2.079013007579296,0.43292987462807087
HHFAMINC,-7,gated_trip_suppression_a1_d0p15,93,1600742.7281241086,2.249732423180723,0.7823914092548686
HHFAMINC,1,historical_mean_only,300,7385631.213695964,7.107711270841407,7.042921953797877
HHFAMINC,1,historical_xgboost,300,7385631.213695964,4.53848906912435,4.411046527376085
HHFAMINC,1,llm_only_trip_suppression_a1p25,300,7385631.213695964,1.5060754282437712,0.12786679906211565
HHFAMINC,1,global_trip_suppression_a1p25,300,7385631.213695964,1.7971404735049565,1.0751479053161372
HHFAMINC,1,llm_trip_suppression_a1p25,300,7385631.213695964,1.3853590538261717,-0.20350825256086064
HHFAMINC,1,gated_trip_suppression_a1_d0p15,300,7385631.213695964,1.6721806054226938,0.7866838446786224
HHFAMINC,2,historical_mean_only,242,5158270.638978538,6.906570784755726,6.442012488963387
HHFAMINC,2,historical_xgboost,242,5158270.638978538,3.6735767909235877,3.3181242182829087
HHFAMINC,2,llm_only_trip_suppression_a1p25,242,5158270.638978538,1.9255694432339456,-0.364821536898676
HHFAMINC,2,global_trip_suppression_a1p25,242,5158270.638978538,1.9283719291090993,0.27019766018265634
HHFAMINC,2,llm_trip_suppression_a1p25,242,5158270.638978538,1.7817812718113415,-0.8074733494273589
HHFAMINC,2,gated_trip_suppression_a1_d0p15,242,5158270.638978538,1.8787067194437883,0.03629322679470368
HHFAMINC,3,historical_mean_only,467,8616666.685066657,6.423822083684319,5.833627045558807
HHFAMINC,3,historical_xgboost,467,8616666.685066657,3.9098364643281056,3.4289787103464517
HHFAMINC,3,llm_only_trip_suppression_a1p25,467,8616666.685066657,2.351962795881909,-0.10651899477602551
HHFAMINC,3,global_trip_suppression_a1p25,467,8616666.685066657,2.0048142477492377,-0.039914517863931014
HHFAMINC,3,llm_trip_suppression_a1p25,467,8616666.685066657,2.1559343757863885,-0.6682727323360032
HHFAMINC,3,gated_trip_suppression_a1_d0p15,467,8616666.685066657,2.140112812945198,0.3459375492488289
HHFAMINC,4,historical_mean_only,552,9884379.583201796,5.96282686749497,5.437681691382705
HHFAMINC,4,historical_xgboost,552,9884379.583201796,4.468468762073294,4.019793249970088
HHFAMINC,4,llm_only_trip_suppression_a1p25,552,9884379.583201796,2.417508329812287,-0.03631676268157126
HHFAMINC,4,global_trip_suppression_a1p25,552,9884379.583201796,2.2093464155280786,-0.02664441954101228
HHFAMINC,4,llm_trip_suppression_a1p25,552,9884379.583201796,2.277568904178625,-0.3739592831432244
HHFAMINC,4,gated_trip_suppression_a1_d0p15,552,9884379.583201796,2.3732570065124277,0.5517096130851066
HHFAMINC,5,historical_mean_only,824,13569737.559333522,5.856020458634953,5.322055072692943
HHFAMINC,5,historical_xgboost,824,13569737.559333522,4.278131228056276,3.7585807862829785
HHFAMINC,5,llm_only_trip_suppression_a1p25,824,13569737.559333522,2.3686852246669385,0.2464356724406678
HHFAMINC,5,global_trip_suppression_a1p25,824,13569737.559333522,2.2242031470253876,-0.2026463917614401
HHFAMINC,5,llm_trip_suppression_a1p25,824,13569737.559333522,2.206401644471186,-0.2519638514550735
HHFAMINC,5,gated_trip_suppression_a1_d0p15,824,13569737.559333522,2.265014277044657,0.41940052456356974
HHFAMINC,6,historical_mean_only,1392,21252307.49957845,5.614168158418081,5.012272689479292
HHFAMINC,6,historical_xgboost,1392,21252307.49957845,4.425200856126517,3.9540463640721475
HHFAMINC,6,llm_only_trip_suppression_a1p25,1392,21252307.49957845,2.6108443454949635,0.25794849952626525
HHFAMINC,6,global_trip_suppression_a1p25,1392,21252307.49957845,2.271523795253691,-0.30289930961567313
HHFAMINC,6,llm_trip_suppression_a1p25,1392,21252307.49957845,2.347749171989409,-0.09703998327280278
HHFAMINC,6,gated_trip_suppression_a1_d0p15,1392,21252307.49957845,2.3718215476882203,0.4682367553775738
HHFAMINC,7,historical_mean_only,1120,16651924.971661704,4.899870772530554,3.666527132583174
HHFAMINC,7,historical_xgboost,1120,16651924.971661704,3.9373581843590255,2.9304010429260794
HHFAMINC,7,llm_only_trip_suppression_a1p25,1120,16651924.971661704,2.8950497956852925,-0.7218073775320929
HHFAMINC,7,global_trip_suppression_a1p25,1120,16651924.971661704,2.7477515493915887,-1.5150678995609557
HHFAMINC,7,llm_trip_suppression_a1p25,1120,16651924.971661704,2.6544243226151916,-0.9680051451373604
HHFAMINC,7,gated_trip_suppression_a1_d0p15,1120,16651924.971661704,2.603130948630247,-0.6289561605541402
HHFAMINC,8,historical_mean_only,890,12256706.34625848,5.149206388656394,3.662875131431441
HHFAMINC,8,historical_xgboost,890,12256706.34625848,4.555602196706703,3.454849094052443
HHFAMINC,8,llm_only_trip_suppression_a1p25,890,12256706.34625848,3.114528710144483,-0.6426512241085124
HHFAMINC,8,global_trip_suppression_a1p25,890,12256706.34625848,2.83537746479418,-1.2997135312649286
HHFAMINC,8,llm_trip_suppression_a1p25,890,12256706.34625848,2.7781529206661837,-0.6810153532205432
HHFAMINC,8,gated_trip_suppression_a1_d0p15,890,12256706.34625848,2.7689977088255127,-0.3648449986952827
HHFAMINC,9,historical_mean_only,611,8490208.346397549,4.732024451708185,2.9479719650841205
HHFAMINC,9,historical_xgboost,611,8490208.346397549,4.381698529696394,3.359278017194345
HHFAMINC,9,llm_only_trip_suppression_a1p25,611,8490208.346397549,3.2219778054450257,-1.188224471105161
HHFAMINC,9,global_trip_suppression_a1p25,611,8490208.346397549,3.0451311444236575,-1.7577758360815199
HHFAMINC,9,llm_trip_suppression_a1p25,611,8490208.346397549,2.898263300378282,-0.8845610969564917
HHFAMINC,9,gated_trip_suppression_a1_d0p15,611,8490208.346397549,2.8528739928168996,-0.7347123118598886
HHFAMINC,10,historical_mean_only,593,9895359.59758039,4.776329622282582,2.975551072522115
HHFAMINC,10,historical_xgboost,593,9895359.59758039,4.675380274305842,3.532049748150149
HHFAMINC,10,llm_only_trip_suppression_a1p25,593,9895359.59758039,3.249403634146624,-1.1972764800598679
HHFAMINC,10,global_trip_suppression_a1p25,593,9895359.59758039,3.1047413020834793,-1.669984446501039
