role,relative_path,exists,size_bytes,line_count,sha256
source_input,outputs/external_validation/acs_commute_mechanism_validation.csv,True,529,3,b18b93dbe1d4d741d7a8369695614c3411226f5bd3bad7cd9974175edb5deeab
source_input,outputs/external_validation/bts_annual_mobility_summary.csv,True,472,5,680bdbdac908f0f0c199953816c86243923c5d20671bebf1d765a23651b592ca
source_input,outputs/external_validation/psrc_household_year_summary.csv,True,530,6,020c05458f76a80c2bdf868afdc341b22d50b53add92006b3b5dd3713b40ff83
source_input,outputs/external_validation/psrc_household_external_validation_metrics.csv,True,1525,7,b2e867dcedbbb5b8f313efea04a9b88ee41176842e97f1acbbc7c26d333440ff
source_input,outputs/external_validation/external_dataset_candidates.csv,True,1329,5,c46fc6cbdf9e9a820f5021d4c5586f59738644e2ea563e071731362d5ebe3861
prompt_input,outputs/llm_event_features/household_cohort_profiles.csv,True,2708596,1328,398ed88c2132b728d90e61bd3c8dc99567e717b56f6c82cee5d80183944cfca5
prompt_input,outputs/llm_event_features/event_feature_schema.json,True,1186,52,2048b8fd10c88e1bc658c35125eb2feff8443c69a0d6055f0f5c59401a0600b5
frozen_corpus,outputs/event_context_corpus/frozen_event_context_sources.csv,True,3606,6,13bb4f8378d6d6d08022f25e7cf5c40b4730113c97ca7f15399c7dca4928e512
frozen_corpus,outputs/event_context_corpus/frozen_event_context_facts.json,True,4858,66,fd4ca71d41753eaa99c9c1c4ab2c8dc674588066b72b588add4e65146f6ba40b
frozen_corpus,outputs/event_context_corpus/frozen_event_context_prompt.md,True,3024,46,fdb69a7a598de62cd044f5d10e1641b53e468a6371aa58c1c3d85bed7a27f44a
frozen_corpus,outputs/event_context_corpus/frozen_event_context_audit.md,True,1239,29,94d1e9160dce93e056d142e6da4830448721cda27ab070757afcb870d8de69a1
frozen_prompt,outputs/event_context_corpus/frozen_context_batch_prompt_summary.md,True,1065,22,72214ca68832c8f36796e7a7a5e8f382a1584f15558094c6f7b2312b3ab9372d
frozen_prompt,outputs/event_context_corpus/frozen_context_batch_prompts.jsonl,True,2990347,89,07c21e6c14bb703f479d52edb1c06acf9f681bd2a63d3faf1d26cc57f122b679
frozen_prompt_leakage_audit,outputs/event_context_corpus/leakage_audit/llm_input_leakage_audit.csv,True,315,4,41226f4860f55e9209041542f96705ea696ca885d00b3763d0145202d026c67b
frozen_prompt_leakage_audit,outputs/event_context_corpus/leakage_audit/llm_guardrail_instruction_check.csv,True,127,2,0f51d8415cb85ee2adf368f9d7f56a5b96294a18b2a70344f0714034f4d925af
frozen_prompt_leakage_audit,outputs/event_context_corpus/leakage_audit/llm_input_leakage_audit_report.md,True,1301,27,8f63b015cef2497e6778b9113f37fc2790f35298d30a29c1ec8ee49588570797
