task,method,display_name,primary_metric,primary_value,primary_improvement_vs_baseline_pct,secondary_metric,secondary_value,bias_metric,bias_value,fit_metric,fit_value
trip_count,historical_mean_only,Historical mean,weighted_mae,5.51164356902712,-27.064104985843198,weighted_rmse,6.125141114482981,weighted_bias,4.499490186792657,weighted_r2,-1.1721561047401452
trip_count,historical_xgboost,Historical predictor,weighted_mae,4.337687319043563,0.0,weighted_rmse,5.316934312940995,weighted_bias,3.605183709134669,weighted_r2,-0.6367465180201153
trip_count,historical_mean_trend_shift,Historical trend shift,weighted_mae,4.150449240826088,4.316541614132758,weighted_rmse,5.146318950759584,weighted_bias,3.3484560369561245,weighted_r2,-0.533388611135309
trip_count,llm_only_trip_suppression_a1p25,LLM-only pressure,weighted_mae,2.717513370990674,37.35110045714703,weighted_rmse,3.987614222512788,weighted_bias,-0.3732485886307166,weighted_r2,0.079370030598061
trip_count,global_trip_suppression_a1p25,Global event prior,weighted_mae,2.522331852502907,41.850768232435264,weighted_rmse,3.743187105215461,weighted_bias,-0.7477032340364844,weighted_r2,0.1887739130528118
trip_count,random_trip_suppression_a1p25,Random prior control,weighted_mae,2.6465772253216584,38.98644529534197,weighted_rmse,3.880720198459063,weighted_bias,-0.6367603088050506,weighted_r2,0.1280379193609559
trip_count,llm_trip_suppression_a1p25,LLM trip suppression,weighted_mae,2.481972167520236,42.78121070129375,weighted_rmse,3.660097422309285,weighted_bias,-0.5403961310609204,weighted_r2,0.2243887022540729
trip_count,gated_trip_suppression_a1_d0p15,Gated LLM correction,weighted_mae,2.5022798339489665,42.31304264456052,weighted_rmse,3.6038437615055248,weighted_bias,-0.0230380080847422,weighted_r2,0.2480469156622738
mode_composition,historical_mean_2017,historical_mean_2017,weighted_total_variation,0.2646506892032564,-31.813429775396223,transit_share_weighted_mae,0.0567194097387561,transit_share_weighted_bias,0.021955066148837,weighted_dominant_mode_accuracy,0.8932520728867326
mode_composition,historical_xgboost,historical_xgboost,weighted_total_variation,0.2007767263580111,0.0,transit_share_weighted_mae,0.0325202583800087,transit_share_weighted_bias,0.0034901369272533,weighted_dominant_mode_accuracy,0.9029381242355896
mode_composition,llm_transit_avoidance_a1,llm_transit_avoidance_a1,weighted_total_variation,0.1985164383727184,1.125771909071931,transit_share_weighted_mae,0.0268768789013847,transit_share_weighted_bias,-0.0069666056637571,weighted_dominant_mode_accuracy,0.9045847643352534
mode_composition,global_transit_avoidance_a1,global_transit_avoidance_a1,weighted_total_variation,0.1988647957713774,0.9522670387724612,transit_share_weighted_mae,0.0289360597109184,transit_share_weighted_bias,-0.0017642518495573,weighted_dominant_mode_accuracy,0.904152899649266
mode_composition,llm_only_2017_mean_no_adapt,llm_only_2017_mean_no_adapt,weighted_total_variation,0.2646506892032564,-31.813429775396223,transit_share_weighted_mae,0.05671940973875617,transit_share_weighted_bias,0.021955066148837087,weighted_dominant_mode_accuracy,0.8932520728867326
mode_composition,llm_only_2017_mean_transit_a0.5,llm_only_2017_mean_transit_a0.5,weighted_total_variation,0.2616066071225089,-30.29727691447173,transit_share_weighted_mae,0.05212398339349572,transit_share_weighted_bias,0.016698731332911304,weighted_dominant_mode_accuracy,0.8932520728867326
mode_composition,llm_only_2017_mean_transit_a0.75,llm_only_2017_mean_transit_a0.75,weighted_total_variation,0.2600699495551595,-29.53192049332492,transit_share_weighted_mae,0.049801550542237415,transit_share_weighted_bias,0.014039514601910039,weighted_dominant_mode_accuracy,0.8932520728867326
mode_composition,llm_only_2017_mean_transit_a1,llm_only_2017_mean_transit_a1,weighted_total_variation,0.2585249928210948,-28.762430541929948,transit_share_weighted_mae,0.047462327024484156,transit_share_weighted_bias,0.011359171339680769,weighted_dominant_mode_accuracy,0.8932520728867326
mode_composition,llm_only_2017_mean_transit_a1.25,llm_only_2017_mean_transit_a1.25,weighted_total_variation,0.25697295206940884,-27.98941228436633,transit_share_weighted_mae,0.04510856239674638,transit_share_weighted_bias,0.008672357738887903,weighted_dominant_mode_accuracy,0.8932520728867326
