year,package,table_name,column_name,column_index
2001,ascii,DAYPUB,HOUSEID,0
2001,ascii,DAYPUB,PERSONID,1
2001,ascii,DAYPUB,TDCASEID,2
2001,ascii,DAYPUB,TDTRPNUM,3
2001,ascii,DAYPUB,MSACAT,4
2001,ascii,DAYPUB,RAIL,5
2001,ascii,DAYPUB,CDIVMSAR,6
2001,ascii,DAYPUB,TRPTRANS,7
2001,ascii,DAYPUB,TRPPUB,8
2001,ascii,DAYPUB,PSGR_FLG,9
2001,ascii,DAYPUB,DRVR_FLG,10
2001,ascii,DAYPUB,VEHUSED,11
2001,ascii,DAYPUB,WHODROVE,12
2001,ascii,DAYPUB,TRPHHVEH,13
2001,ascii,DAYPUB,HHMEMDRV,14
2001,ascii,DAYPUB,URBRUR,15
2001,ascii,DAYPUB,WHYFROM,16
2001,ascii,DAYPUB,HTHUR,17
2001,ascii,DAYPUB,HBHUR,18
2001,ascii,DAYPUB,IMPTAGE,19
2001,ascii,DAYPUB,IMPTSEX,20
2001,ascii,DAYPUB,IMPTRACE,21
2001,ascii,DAYPUB,IMPTMILE,22
2001,ascii,DAYPUB,IMPTMIN,23
2001,ascii,DAYPUB,IMPTHOWN,24
2001,ascii,DAYPUB,IMPTHTYP,25
2001,ascii,DAYPUB,IMPTENTM,26
2001,ascii,DAYPUB,IMPTSTTM,27
2001,ascii,DAYPUB,IMPTTPUB,28
2001,ascii,DAYPUB,IMPTTRIP,29
2001,ascii,DAYPUB,TDMSDTRP,30
2001,ascii,DAYPUB,TPOVRLAP,31
2001,ascii,DAYPUB,AWAYHOME,32
2001,ascii,DAYPUB,DRIVER,33
2001,ascii,DAYPUB,ONTD_P1,34
2001,ascii,DAYPUB,ONTD_P2,35
2001,ascii,DAYPUB,ONTD_P3,36
2001,ascii,DAYPUB,ONTD_P4,37
2001,ascii,DAYPUB,ONTD_P5,38
2001,ascii,DAYPUB,ONTD_P6,39
2001,ascii,DAYPUB,ONTD_P7,40
2001,ascii,DAYPUB,ONTD_P8,41
2001,ascii,DAYPUB,ONTD_P9,42
2001,ascii,DAYPUB,ONTD_P10,43
2001,ascii,DAYPUB,ONTD_P11,44
2001,ascii,DAYPUB,ONTD_P12,45
2001,ascii,DAYPUB,PASSPURP,46
2001,ascii,DAYPUB,PUBTYPE,47
2001,ascii,DAYPUB,R_RELAT,48
