year,package,table_name,suffix,bytes_size,row_count,column_count,path,error
2001,ascii,DAYPUB,.csv,287252188,642292,150,data/raw/nhts_2001/ascii/DAYPUB.csv,
2001,ascii,HHPUB,.csv,39765492,69817,188,data/raw/nhts_2001/ascii/HHPUB.csv,
2001,ascii,LDTPUB,.csv,20111445,45165,137,data/raw/nhts_2001/ascii/LDTPUB.csv,
2001,ascii,PERPUB,.csv,70029563,160758,142,data/raw/nhts_2001/ascii/PERPUB.csv,
2001,ascii,VEHPUB,.csv,49466719,139382,92,data/raw/nhts_2001/ascii/VEHPUB.csv,
2009,ascii,DAYV2PUB,.csv,439716964,1167321,112,data/raw/nhts_2009/ascii/Ascii/DAYV2PUB.CSV,
2009,ascii,HHV2PUB,.csv,22961476,150147,43,data/raw/nhts_2009/ascii/Ascii/HHV2PUB.CSV,
2009,ascii,PERV2PUB,.csv,116941809,308901,117,data/raw/nhts_2009/ascii/Ascii/PERV2PUB.CSV,
2009,ascii,VEHV2PUB,.csv,71605674,309163,61,data/raw/nhts_2009/ascii/Ascii/VEHV2PUB.CSV,
2017,csv,hhpub,.csv,38631137,129696,58,data/raw/nhts_2017/csv/hhpub.csv,
2017,csv,perpub,.csv,153098853,264234,121,data/raw/nhts_2017/csv/perpub.csv,
2017,csv,trippub,.csv,546388721,923572,115,data/raw/nhts_2017/csv/trippub.csv,
2017,csv,vehpub,.csv,90856500,256115,60,data/raw/nhts_2017/csv/vehpub.csv,
2022,csv,hhv2pub,.csv,1767471,7893,43,data/raw/nhts_2022/csv/hhv2pub.csv,
2022,csv,ldtv2pub,.csv,6418788,16997,74,data/raw/nhts_2022/csv/ldtv2pub.csv,
2022,csv,perv2pub,.csv,12473819,16997,153,data/raw/nhts_2022/csv/perv2pub.csv,
2022,csv,tripv2pub,.csv,17505566,31074,102,data/raw/nhts_2022/csv/tripv2pub.csv,
2022,csv,vehv2pub,.csv,4455967,14684,55,data/raw/nhts_2022/csv/vehv2pub.csv,
