domain,column_name,year_count,years
household,AGE_P1,1,2001
household,AGE_P10,1,2001
household,AGE_P11,1,2001
household,AGE_P12,1,2001
household,AGE_P13,1,2001
household,AGE_P14,1,2001
household,AGE_P2,1,2001
household,AGE_P3,1,2001
household,AGE_P4,1,2001
household,AGE_P5,1,2001
household,AGE_P6,1,2001
household,AGE_P7,1,2001
household,AGE_P8,1,2001
household,AGE_P9,1,2001
household,BEGTRAV,1,2001
household,BIKE,1,2017
household,BIKE2SAVE,1,2017
household,BUS,1,2017
household,CAR,1,2017
household,CDIVMSAR,4,2001;2009;2017;2022
household,CENSUS_D,4,2001;2009;2017;2022
household,CENSUS_R,4,2001;2009;2017;2022
household,CNTTDHH,4,2001;2009;2017;2022
household,CNTTPHH,1,2001
household,DRVRCNT,4,2001;2009;2017;2022
household,DRV_P1,1,2001
household,DRV_P10,1,2001
household,DRV_P11,1,2001
household,DRV_P12,1,2001
household,DRV_P13,1,2001
household,DRV_P14,1,2001
household,DRV_P2,1,2001
household,DRV_P3,1,2001
household,DRV_P4,1,2001
household,DRV_P5,1,2001
household,DRV_P6,1,2001
household,DRV_P7,1,2001
household,DRV_P8,1,2001
household,DRV_P9,1,2001
household,ENDTRAV,1,2001
household,EXPFLHHN,1,2001
household,EXPFLLHH,1,2001
household,FLAG100,2,2009;2022
household,FLGFINCM,1,2001
household,HBHRESDN,1,2001
household,HBHTNRNT,4,2001;2009;2017;2022
household,HBHUR,4,2001;2009;2017;2022
household,HBPPOPDN,4,2001;2009;2017;2022
household,HBRESDN,3,2009;2017;2022
household,HHC_MSA,2,2001;2009
household,HHFAMINC,4,2001;2009;2017;2022
household,HHFAMINC_IMP,1,2022
household,HHINCTTL,1,2001
household,HHINTDT,1,2001
household,HHMNINC,1,2001
household,HHNUMBIK,1,2001
household,HHRELATD,3,2009;2017;2022
household,HHRESP,3,2001;2009;2017
household,HHR_AGE,1,2001
household,HHR_DRVR,1,2001
household,HHR_EDUC,1,2001
household,HHR_HISP,1,2001
household,HHR_RACE,1,2001
household,HHR_SEX,1,2001
household,HHR_STAT,1,2001
household,HHR_WRKR,1,2001
household,HHSIZE,4,2001;2009;2017;2022
household,HHSTATE,3,2001;2009;2017
household,HHSTFIPS,3,2001;2009;2017
household,HHTOTD,1,2001
household,HHVEHCNT,4,2001;2009;2017;2022
household,HH_CBSA,2,2009;2017
household,HH_HISP,3,2009;2017;2022
household,HH_RACE,3,2009;2017;2022
household,HOMEGEO,1,2001
household,HOMEOWN,4,2001;2009;2017;2022
household,HOMETYPE,3,2001;2009;2022
household,HOUSEID,4,2001;2009;2017;2022
household,HTEEMPDN,4,2001;2009;2017;2022
household,HTHRESDN,1,2001
household,HTHTNRNT,4,2001;2009;2017;2022
household,HTHUR,1,2001
household,HTPPOPDN,4,2001;2009;2017;2022
household,HTRESDN,3,2009;2017;2022
household,IMPTHOWN,1,2001
household,IMPTHTYP,1,2001
household,IMPTPHON,1,2001
household,INCM_P1,1,2001
