,count,mean,std,min,10%,25%,50%,75%,90%,max
trip_suppression_risk,7893.0,0.45726846572912705,0.10807472173967105,0.24,0.34,0.38,0.42,0.52,0.62,0.78
remote_work_substitution_likelihood,7893.0,0.375963511972634,0.23531750490772246,0.03,0.08,0.08,0.46,0.58,0.63,0.78
transit_avoidance_likelihood,7893.0,0.2632547827188648,0.17447578593415136,0.04,0.12,0.18,0.18,0.34,0.58,0.83
online_delivery_substitution_likelihood,7893.0,0.5134207525655644,0.07606536762643766,0.28,0.42,0.46,0.52,0.58,0.61,0.74
post_pandemic_recovery_sensitivity,7893.0,0.45905359179019384,0.09234885483694456,0.22,0.36,0.39,0.44,0.52,0.58,0.77
confidence,7893.0,0.6713645001900418,0.028940586877220127,0.42,0.63,0.66,0.68,0.68,0.72,0.78
llm_raw_event_pressure,7893.0,0.40936994805523885,0.08664611508288057,0.20999999999999996,0.3055,0.344,0.40700000000000003,0.46199999999999997,0.516,0.757
llm_recovery_adjusted_pressure,7893.0,0.36100166254909416,0.06946645422614617,0.19185999999999998,0.276555,0.30743250000000005,0.36019500000000004,0.40453999999999996,0.4445699999999999,0.61317
llm_confidence_weighted_pressure,7893.0,0.2422325295229951,0.04720481222925945,0.12512995,0.18438420000000003,0.20498175000000005,0.23968012499999997,0.27112959999999997,0.30477630000000006,0.4500756
llm_trip_suppression_pressure,7893.0,0.45726846572912705,0.10807472173967105,0.24,0.34,0.38,0.42,0.52,0.62,0.78
