method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device
historical_xgboost,0,0.0,0,7893,4.004555516319705,4.932823037039285,3.1655956346484535,-0.449403068808502,4.337687319043563,5.316934312940995,3.605183709134669,-0.6367465180201153,3.831913682179956,7.437097391314626,cuda
historical_mean_trend_shift,0,0.0,0,7893,3.827840812323869,4.772133717292923,2.908867962469909,-0.3565109814290721,4.150449240826088,5.146318950759584,3.3484560369561245,-0.533388611135309,3.831913682179956,7.180369719136081,cuda
llm_recovery_pressure_a0p25,0,0.0,0,7893,3.5794842604147683,4.481157735301207,2.52230498502718,-0.19613050869581294,3.86171438154349,4.800696524598646,2.9240624128376203,-0.3343425701550826,3.831913682179956,6.7559760950175765,cuda
global_recovery_pressure_a0p25,0,0.0,0,7893,3.572729315972621,4.472231470490659,2.5162655166458756,-0.19136997837359737,3.859426558159534,4.794691055100345,2.9252639436826002,-0.33100624536133494,3.831913682179956,6.757177625862556,cuda
llm_confidence_pressure_a0p25,0,0.0,0,7893,3.714570449044328,4.622418853723106,2.733543131308981,-0.2727312188653148,4.014954498804659,4.964445954673559,3.1487602816981726,-0.4269225788454003,3.831913682179956,6.980673963878128,cuda
llm_trip_suppression_a0p25,0,0.0,0,7893,3.4879914778270877,4.391357225000235,2.3890281684201105,-0.14867095496189875,3.750320120530385,4.685755563226898,2.7757499582020486,-0.27121232458422306,3.831913682179956,6.607663640382004,cuda
global_trip_suppression_a0p25,0,0.0,0,7893,3.4593509500474195,4.355331744121112,2.334185595970747,-0.12990150372732812,3.7322361288943666,4.659531770554442,2.734606320500438,-0.2570234811224774,3.831913682179956,6.566520002680394,cuda
gated_trip_suppression_a0p25_d0p05,0,0.0,0,7893,3.4769846815252747,4.38009771807348,2.370277796970714,-0.14278808681578692,3.7386457529893997,4.673599315535689,2.757459056814125,-0.2646250723860484,3.831913682179956,6.589372738994081,cuda
gated_trip_suppression_a0p25_d0p1,0,0.0,0,7893,3.4655582694482563,4.3674230669796215,2.3499731572868443,-0.13618390377904466,3.726422988339385,4.659150253556038,2.7381268741085747,-0.2568176423320143,3.831913682179956,6.57004055628853,cuda
gated_trip_suppression_a0p25_d0p15,0,0.0,0,7893,3.4422554273784547,4.3400266821887135,2.3108862793147478,-0.1219742878522525,3.702632620405741,4.630809256501229,2.6981282798298167,-0.24157403398675759,3.831913682179956,6.530041962009772,cuda
llm_recovery_pressure_a0p5,0,0.0,0,7893,3.2063898230755847,4.107303725955195,1.8790143354059068,-0.004874310306487217,3.4325558624203403,4.358883873494813,2.242941116540571,-0.1000424224565779,3.831913682179956,6.074854798720528,cuda
global_recovery_pressure_a0p5,0,0.0,0,7893,3.1918310189009667,4.084982454704662,1.8669353986432977,0.006018053677092294,3.4255376861373064,4.340375350231115,2.245344178230532,-0.09072034134813989,3.831913682179956,6.077257860410488,cuda
