concurrency,requests,success,errors,error_rate,elapsed_seconds,throughput_rps,latency_mean,latency_p50,latency_p95,latency_max
1,10,10,0,0.0,131.56,0.076,13.156,10.209,40.152,40.152
2,10,10,0,0.0,52.179,0.1916,9.98,10.028,12.295,12.295
3,10,10,0,0.0,34.256,0.2919,9.113,9.905,11.759,11.759
5,10,10,0,0.0,17.646,0.5667,7.66,6.929,10.507,10.507
8,10,10,0,0.0,21.697,0.4609,10.889,11.015,11.593,11.593
10,10,10,0,0.0,11.42,0.8757,9.964,10.784,11.354,11.354
15,10,10,0,0.0,11.624,0.8603,11.084,11.072,11.571,11.571
20,10,10,0,0.0,11.337,0.8821,10.741,10.78,11.256,11.256
25,10,10,0,0.0,11.523,0.8678,10.535,10.535,11.454,11.454
30,10,10,0,0.0,11.64,0.8591,10.64,10.39,11.475,11.475
