method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device
historical_xgboost,42,0.1,789,7104,4.002245403222136,4.917191128625615,3.147459016995387,-0.43886813175946027,4.3298989700597685,5.292561398025434,3.5876659865903155,-0.6111730265496369,3.8481417645965066,7.435807751186823,cuda
bias_shift_calibration,42,0.1,789,7104,2.6800835113236694,3.795773854068487,-0.5471062054855591,0.14259211123665472,2.7193340160525383,3.8630118331404493,-0.09855291263902949,0.1416538773046967,3.8481417645965066,3.7495888519574767,cuda
residual_llm_only,42,0.1,789,7104,2.858750743556533,3.993018900736908,-0.18757962829827726,0.05116751120394425,2.953985432394913,4.114232434470219,0.2675343306571841,0.026383287808313227,3.8481417645965066,4.115676095253691,cuda
residual_tabular_only,42,0.1,789,7104,2.6515514972443515,3.8078075203384913,-0.13027354578177133,0.1371470473929629,2.7085961838699775,3.8764035624985125,0.17953247982304144,0.13569238217327362,3.8481417645965066,4.027674244419548,cuda
residual_tabular_plus_llm,42,0.1,789,7104,2.66175541306871,3.8132339738106547,-0.09720829768559418,0.13468601559605742,2.7434208853765627,3.904859120478119,0.21810029309543147,0.12295654331621697,3.8481417645965066,4.066242057691938,cuda
historical_xgboost,43,0.1,789,7104,4.002411073862432,4.927924932208704,3.1696742769699915,-0.45103349825914774,4.333477138141888,5.317775207377399,3.6025759788942873,-0.6334108526706572,3.8360660102230564,7.438641989117344,cuda
bias_shift_calibration,43,0.1,789,7104,2.669697547977217,3.7765686400992973,-0.4028208863451156,0.14779508121037532,2.733121461635666,3.886375813152479,0.040260735662493975,0.12758107848196776,3.8360660102230564,3.87632674588555,cuda
residual_llm_only,43,0.1,789,7104,2.8703938835543825,4.027485556959793,-0.10764737298024131,0.030791409448632456,2.9632122233713556,4.1577161547017765,0.32228154095771294,0.0015066867467863343,3.8360660102230564,4.158347551180769,cuda
residual_tabular_only,43,0.1,789,7104,2.6380825338734164,3.7246155628078035,0.04346618834916536,0.1710808391576435,2.6855580173477915,3.777211835021784,0.30516956945514084,0.17590330863314674,3.8360660102230564,4.141235579678197,cuda
residual_tabular_plus_llm,43,0.1,789,7104,2.620957835535477,3.721525652933622,0.03578499546861864,0.1724555974629307,2.6770493211075896,3.7951915151244866,0.30257396922613167,0.16803916953866382,3.8360660102230564,4.138639979449188,cuda
historical_xgboost,44,0.1,789,7104,4.023107138235827,4.949803915589059,3.192025218259644,-0.47575069674922754,4.359640753845416,5.335573951145115,3.6411039806815824,-0.6816140586054218,3.819048153695458,7.460152134377041,cuda
bias_shift_calibration,44,0.1,789,7104,2.6921669817558564,3.773369274253739,-0.07844897587891826,0.14237856963749174,2.7873799524688976,3.901912282457047,0.37971520309054224,0.10067007201616562,3.819048153695458,4.198763356785999,cuda
residual_llm_only,44,0.1,789,7104,2.9005149047452585,4.068208903835023,0.15466001529145884,0.0031185857218146706,3.039507023886862,4.254312509482802,0.5935051094451502,-0.06911105360186176,3.819048153695458,4.412553263140609,cuda
residual_tabular_only,44,0.1,789,7104,2.740240213620636,3.8942531199383823,0.31129395268723237,0.0865487799201129,2.839067935552952,4.046006918739399,0.6154229306146607,0.03302046146253357,3.819048153695458,4.434471084310119,cuda
residual_tabular_plus_llm,44,0.1,789,7104,2.758210718195449,3.924732082172805,0.32797869469399926,0.07219429629566587,2.8647081319208283,4.075630077526686,0.6542872166822652,0.018808992098984234,3.819048153695458,4.473335370377724,cuda
historical_xgboost,45,0.1,789,7104,3.9928977985505587,4.9229050152907785,3.15298382474764,-0.43526910730991664,4.322703445952287,5.301639897088546,3.587318887087306,-0.6153833874671015,3.855859560479559,7.443178447566864,cuda
bias_shift_calibration,45,0.1,789,7104,2.678466920627747,3.796084611191625,-0.534519228410687,0.1465812265503439,2.7316032767670775,3.8746629449040726,-0.09139664900605257,0.13717440532738634,3.855859560479559,3.7644629114735064,cuda
residual_llm_only,45,0.1,789,7104,2.858929313266197,4.025701128701815,-0.16406617184412908,0.04021604992050565,2.9652176895257836,4.176576575744954,0.24378935843860255,-0.002526952919013059,3.855859560479559,4.099648918918161,cuda
residual_tabular_only,45,0.1,789,7104,2.6016805947397477,3.735567382952153,-0.17973807781330636,0.1735747575498774,2.6605377351447723,3.8100899425844403,0.01323639562122195,0.16569352048169828,3.855859560479559,3.8690959561007805,cuda
residual_tabular_plus_llm,45,0.1,789,7104,2.6050618794318794,3.729348327257755,-0.11959219203741701,0.1763241692649935,2.660369557773911,3.7991116489753507,0.07220311016568125,0.17049449158819163,3.855859560479559,3.92806267064524,cuda
historical_xgboost,46,0.1,789,7104,4.019980407915674,4.958951869774785,3.170977729800585,-0.45233236435171587,4.3666313424963095,5.354570054358512,3.62507756527355,-0.6436010895322926,3.82472203287399,7.44979959814754,cuda
bias_shift_calibration,46,0.1,789,7104,2.6956326172374188,3.8070319394312935,-0.21315833830720382,0.14402856894394678,2.7824772507283058,3.931468984690249,0.24936769556033903,0.11395267552569355,3.82472203287399,4.07408972843433,cuda
residual_llm_only,46,0.1,789,7104,2.8478715401310644,3.987813280262132,-0.0770288371556514,0.06080480987128711,2.945241567832685,4.121192034448645,0.4048374374324203,0.02637231560745046,3.82472203287399,4.229559470306411,cuda
residual_tabular_only,46,0.1,789,7104,2.6937952849611237,3.857951751492601,0.07444171951496387,0.12097786163033786,2.782759854626219,3.984432339238157,0.4102862015062858,0.08991884098959069,3.82472203287399,4.235008234380276,cuda
residual_tabular_plus_llm,46,0.1,789,7104,2.6773267152073146,3.8426836189533953,0.0830608497264686,0.1279216857205907,2.7601058812364676,3.9556866798730836,0.43657332984150293,0.10300302062577216,3.82472203287399,4.261295362715494,cuda
