method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device,calibration_label
historical_xgboost,42,0.05,395,7498,4.006891621179853,4.928260667486722,3.1648950384088628,-0.4502165364084471,4.33473444138035,5.301177190219496,3.601060861743312,-0.6231888881308647,3.8269992135703697,7.428060075313682,cuda,5%
bias_shift_calibration,42,0.05,395,7498,2.671703029977796,3.786366220234612,-0.4571592306329229,0.1439665297498429,2.7212473039520337,3.864260693247112,-0.0120971841559812,0.1375036725568842,3.8269992135703697,3.8149020294143887,cuda,5%
residual_llm_only,42,0.05,395,7498,3.042414272426128,4.221975356214356,0.1430094968989614,-0.0643314606016332,3.1651240348171386,4.38207999372164,0.5631415256767471,-0.1091365630407485,3.8269992135703697,4.390140739247117,cuda,5%
residual_tabular_only,42,0.05,395,7498,2.7571529833658057,3.914034460423267,0.0802486867197484,0.0852660423328789,2.8222381856604413,3.993402949289963,0.3493406327046185,0.0788917154545004,3.8269992135703697,4.176339846274988,cuda,5%
residual_tabular_plus_llm,42,0.05,395,7498,2.79648188177062,3.932003964662849,0.1543511955316431,0.0768475942499782,2.8770274527774875,4.01253257256429,0.4492205570980178,0.0700457971289607,3.8269992135703697,4.276219770668388,cuda,5%
historical_xgboost,43,0.05,395,7498,3.9991416843390906,4.9227120577522765,3.170648016462837,-0.4607711785672952,4.336614177532227,5.318540764828262,3.609047972659565,-0.6452222285275291,3.829854370943113,7.438902343602677,cuda,5%
bias_shift_calibration,43,0.05,395,7498,2.6679394233317675,3.7636605932858873,-0.3128626254658843,0.1461251378017027,2.746088376990336,3.887173429024574,0.1355619741078041,0.1211648497131399,3.829854370943113,3.965416345050917,cuda,5%
residual_llm_only,43,0.05,395,7498,3.0136527231961256,4.213583060894215,0.0813415661338934,-0.0702283309869737,3.117478270854834,4.350337344783799,0.5007441187774988,-0.1007417897571039,3.829854370943113,4.330598489720612,cuda,5%
residual_tabular_only,43,0.05,395,7498,2.764876677612204,3.920655188362748,0.0742474398984372,0.0734035706915963,2.847131682292788,4.045818831475264,0.3633291478871768,0.0479660254585773,3.829854370943113,4.193183518830289,cuda,5%
residual_tabular_plus_llm,43,0.05,395,7498,2.7743488318540472,3.96093023748498,0.0872718904551966,0.0542688119697243,2.8673777935587803,4.116066068020218,0.4024362148272415,0.0146188316048275,3.829854370943113,4.232290585770355,cuda,5%
historical_xgboost,44,0.05,395,7498,4.004311323929037,4.935545495797198,3.1666666843249467,-0.4494820731102382,4.336261745443936,5.319561252021457,3.605939292282665,-0.6311841481168337,3.8450776469754793,7.451016939258144,cuda,5%
bias_shift_calibration,44,0.05,395,7498,2.68160694402643,3.787671754589459,-0.3730750285606599,0.1463355422676925,2.752412562744843,3.888284821839522,0.0751635856987137,0.1284997730687941,3.8450776469754793,3.920241232674193,cuda,5%
residual_llm_only,44,0.05,395,7498,3.0587902251451164,4.323035897696425,0.0227538544230538,-0.1120394979392398,3.157375010962068,4.460069826089393,0.4438979162967281,-0.1466600464020191,3.8450776469754793,4.288975563272207,cuda,5%
residual_tabular_only,44,0.05,395,7498,2.70980308667346,3.841703997787476,0.0091451592018013,0.1218062774385726,2.782470894940082,3.931017866242101,0.269178654495149,0.1092385782630168,3.8450776469754793,4.114256301470628,cuda,5%
residual_tabular_plus_llm,44,0.05,395,7498,2.762813504011226,3.95884978253775,0.0215426501543498,0.067431858282283,2.8244125366858874,4.0583190646781695,0.2971359721548366,0.050611993770164,3.8450776469754793,4.142213619130316,cuda,5%
historical_xgboost,45,0.05,395,7498,3.992121738763007,4.9190678651295965,3.152676056340142,-0.4321941039844994,4.327181368462183,5.305568866229071,3.589827281233337,-0.615021268545739,3.842882281824219,7.432709563057555,cuda,5%
bias_shift_calibration,45,0.05,395,7498,2.677075876772852,3.8040359711496414,-0.6512482447598038,0.1435037162566488,2.720229998845276,3.8762252321969104,-0.2066978504891083,0.1379502257882524,3.842882281824219,3.6361844313351104,cuda,5%
residual_llm_only,45,0.05,395,7498,2.9437418199278698,4.133708314350565,-0.2698950687069103,-0.0113836060997827,3.053833150642489,4.285672171334705,0.1443844409541954,-0.0537855231027075,3.842882281824219,3.9872667227784144,cuda,5%
residual_tabular_only,45,0.05,395,7498,2.665023214564574,3.817493022163281,-0.2727579285730264,0.1374331632196371,2.715430456642409,3.85189170156274,-0.0009541160879666,0.1487395227192431,3.842882281824219,3.841928165736253,cuda,5%
residual_tabular_plus_llm,45,0.05,395,7498,2.6483089963923647,3.806014914815056,-0.2409053756002109,0.1426123478335741,2.7016829978875627,3.833865825416667,0.0225593821881338,0.1566882463222888,3.842882281824219,3.865441664012353,cuda,5%
historical_xgboost,46,0.05,395,7498,4.023212710772556,4.956383437948378,3.1873451122508807,-0.4639300166234377,4.372661119195613,5.358022659770592,3.639894345083034,-0.6573888501314704,3.812689830913824,7.452584175996859,cuda,5%
bias_shift_calibration,46,0.05,395,7498,2.7197189513954747,3.799611071052546,0.2766014919641154,0.1396625847144516,2.8627814918791645,3.990097553403374,0.7355081561832063,0.0808585565371663,3.812689830913824,4.54819798709703,cuda,5%
residual_llm_only,46,0.05,395,7498,2.99648049628776,4.133450684690359,0.46460161148055,-0.0181600269043122,3.1576035804245075,4.350391520872536,0.9261569197632744,-0.0926272020160188,3.812689830913824,4.738846750677099,cuda,5%
residual_tabular_only,46,0.05,395,7498,2.7814145787584525,3.8745627305608985,0.4308649787555602,0.1053855372976526,2.9286046678659168,4.036130610494554,0.804572613588585,0.0595282724318203,3.812689830913824,4.617262444502409,cuda,5%
residual_tabular_plus_llm,46,0.05,395,7498,2.7812285482422388,3.8561214604630583,0.4474701967262274,0.1138812395310091,2.919096674473342,4.010486919434787,0.80857642872955,0.071440945305796,3.812689830913824,4.621266259643375,cuda,5%
historical_xgboost,42,0.1,789,7104,4.002245403222136,4.917191128625615,3.147459016995387,-0.4388681317594602,4.3298989700597685,5.292561398025434,3.5876659865903155,-0.6111730265496369,3.8481417645965066,7.435807751186823,cuda,10%
bias_shift_calibration,42,0.1,789,7104,2.6800835113236694,3.795773854068487,-0.5471062054855591,0.1425921112366547,2.7193340160525383,3.863011833140449,-0.0985529126390294,0.1416538773046967,3.8481417645965066,3.7495888519574767,cuda,10%
residual_llm_only,42,0.1,789,7104,2.858750743556533,3.993018900736908,-0.1875796282982772,0.0511675112039442,2.953985432394913,4.114232434470219,0.2675343306571841,0.0263832878083132,3.8481417645965066,4.115676095253691,cuda,10%
residual_tabular_only,42,0.1,789,7104,2.6515514972443515,3.8078075203384913,-0.1302735457817713,0.1371470473929629,2.708596183869977,3.876403562498513,0.1795324798230414,0.1356923821732736,3.8481417645965066,4.027674244419548,cuda,10%
residual_tabular_plus_llm,42,0.1,789,7104,2.66175541306871,3.813233973810655,-0.0972082976855941,0.1346860155960574,2.7434208853765627,3.904859120478119,0.2181002930954314,0.1229565433162169,3.8481417645965066,4.066242057691938,cuda,10%
historical_xgboost,43,0.1,789,7104,4.002411073862432,4.927924932208704,3.1696742769699915,-0.4510334982591477,4.333477138141888,5.317775207377399,3.6025759788942877,-0.6334108526706572,3.836066010223056,7.438641989117344,cuda,10%
bias_shift_calibration,43,0.1,789,7104,2.669697547977217,3.776568640099297,-0.4028208863451156,0.1477950812103753,2.733121461635666,3.886375813152479,0.0402607356624939,0.1275810784819677,3.836066010223056,3.87632674588555,cuda,10%
residual_llm_only,43,0.1,789,7104,2.8703938835543825,4.027485556959793,-0.1076473729802413,0.0307914094486324,2.963212223371356,4.1577161547017765,0.3222815409577129,0.0015066867467863,3.836066010223056,4.158347551180769,cuda,10%
residual_tabular_only,43,0.1,789,7104,2.6380825338734164,3.724615562807804,0.0434661883491653,0.1710808391576435,2.6855580173477915,3.777211835021784,0.3051695694551408,0.1759033086331467,3.836066010223056,4.141235579678197,cuda,10%
residual_tabular_plus_llm,43,0.1,789,7104,2.620957835535477,3.721525652933622,0.0357849954686186,0.1724555974629307,2.6770493211075896,3.795191515124487,0.3025739692261316,0.1680391695386638,3.836066010223056,4.138639979449188,cuda,10%
historical_xgboost,44,0.1,789,7104,4.023107138235827,4.949803915589059,3.192025218259644,-0.4757506967492275,4.359640753845416,5.335573951145115,3.6411039806815824,-0.6816140586054218,3.819048153695458,7.460152134377041,cuda,10%
bias_shift_calibration,44,0.1,789,7104,2.6921669817558564,3.773369274253739,-0.0784489758789182,0.1423785696374917,2.7873799524688976,3.901912282457047,0.3797152030905422,0.1006700720161656,3.819048153695458,4.198763356785999,cuda,10%
residual_llm_only,44,0.1,789,7104,2.9005149047452585,4.068208903835023,0.1546600152914588,0.0031185857218146,3.039507023886862,4.254312509482802,0.5935051094451502,-0.0691110536018617,3.819048153695458,4.412553263140609,cuda,10%
residual_tabular_only,44,0.1,789,7104,2.740240213620636,3.8942531199383823,0.3112939526872323,0.0865487799201129,2.839067935552952,4.046006918739399,0.6154229306146607,0.0330204614625335,3.819048153695458,4.434471084310119,cuda,10%
residual_tabular_plus_llm,44,0.1,789,7104,2.758210718195449,3.924732082172805,0.3279786946939992,0.0721942962956658,2.8647081319208283,4.075630077526686,0.6542872166822652,0.0188089920989842,3.819048153695458,4.473335370377724,cuda,10%
historical_xgboost,45,0.1,789,7104,3.992897798550559,4.9229050152907785,3.15298382474764,-0.4352691073099166,4.322703445952287,5.301639897088546,3.587318887087306,-0.6153833874671015,3.855859560479559,7.443178447566864,cuda,10%
bias_shift_calibration,45,0.1,789,7104,2.678466920627747,3.796084611191625,-0.534519228410687,0.1465812265503439,2.731603276767077,3.8746629449040726,-0.0913966490060525,0.1371744053273863,3.855859560479559,3.7644629114735055,cuda,10%
