calibration_label,method,runs,weighted_mae_mean,weighted_mae_std,weighted_rmse_mean,weighted_bias_mean,weighted_bias_std,weighted_r2_mean,r2_mean
5%,bias_shift_calibration,5,2.7605519468823307,0.05894285102495247,3.9012083459422984,0.14548773626892691,0.3542724225398972,0.12119541553284738,0.14391870215806768
5%,residual_tabular_only,5,2.8191751774803273,0.0788605303764535,3.971652391812924,0.35709338651751255,0.2899412280102003,0.08887282286543158,0.1046589181960675
5%,residual_tabular_plus_llm,5,2.837919491076612,0.08326130441435167,4.006254090022827,0.395985710999556,0.2838684343648282,0.0726811628264074,0.09100837037331375
5%,residual_llm_only,5,3.1302828095402075,0.046644478330547474,4.365710171360415,0.5156649842936888,0.2801696080976512,-0.10059022486371956,-0.055228584506388324
5%,historical_xgboost,5,4.341490570402862,0.017840413878811107,5.320574146613775,3.6091539506003825,0.018670400025469307,-0.6344010766904874,-0.4513187817387835
10%,residual_tabular_only,5,2.7353039453083428,0.07381899662789737,3.8988289196164585,0.3047295154040701,0.22820787808634327,0.12004570274804852,0.1378658571301869
10%,residual_tabular_plus_llm,5,2.741130755483072,0.08103312493444063,3.9060958083955457,0.3367475838022025,0.22137377446232362,0.11666044343356571,0.13671635286804762
10%,bias_shift_calibration,5,2.750783191530497,0.031672909445889706,3.8914863716688592,0.09587881453365864,0.21218570789553898,0.12420642173118197,0.14467511151576246
10%,residual_llm_only,5,2.97343278740232,0.03778457677033947,4.164805941769679,0.36638955538621404,0.1412518984066954,-0.0034751432716649613,0.037219673233236786
10%,historical_xgboost,5,4.342470330099134,0.01941793163146772,5.320424101599001,3.608748479705408,0.02374508475927147,-0.637036482965022,-0.4506507596858936
20%,residual_tabular_only,5,2.6355311782564708,0.05317512375157189,3.75659912475154,0.23535988329494595,0.11621333955514558,0.17782949633760492,0.18115728440098247
20%,residual_tabular_plus_llm,5,2.6497910781606144,0.03804533038575386,3.777376390333565,0.2692422669394168,0.1248125104744608,0.16857478743941418,0.17513201656810448
20%,bias_shift_calibration,5,2.7390747030773714,0.024861683090824517,3.8729725398226407,0.14768669407015272,0.11322283627306662,0.12611087758877915,0.1442881693103686
20%,residual_llm_only,5,2.904752506295372,0.05015669937241827,4.08042698542177,0.29113284223038516,0.0953992135329629,0.029509597103033858,0.06219676072996851
20%,historical_xgboost,5,4.344967407397086,0.023395107080601187,5.316515048063548,3.623117538135065,0.024134894217581537,-0.6467448122019006,-0.46350986538181865
