cohort_id,trip_suppression_risk,remote_work_substitution_likelihood,transit_avoidance_likelihood,online_delivery_substitution_likelihood,post_pandemic_recovery_sensitivity,confidence,primary_event_mechanism,short_explanation
hhc_000001,0.9,0.8,0.7,0.6,0.5,0.95,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, avoid public transit, and resume remote work."
hhc_000044,0.9,0.8,0.7,0.6,0.5,0.95,Pandemic-era event-response,"The household is likely to reduce travel due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000087,0.6,0.8,0.4,0.2,0.9,0.85,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000129,0.9,0.8,0.7,0.6,0.5,0.95,Pandemic-era event-response,"The household is likely to reduce travel due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000172,0.625,0.75,0.5,0.25,0.75,0.875,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000215,0.5,0.7,0.3,0.2,0.8,0.9,Pandemic-era event-response,"The household is likely to suppress trips, substitute online delivery, and avoid transit due to the pandemic."
hhc_000258,0.6667,0.3333,0.3333,0.3333,0.3333,0.6667,Pandemic-era event-response,"The household is likely to respond to pandemic-era events by reducing trips, substituting online delivery for in-person shopping, avoiding public transit, and working remotely."
hhc_000300,0.5,0.7,0.3,0.2,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce travel due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000343,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,Pandemic-era event-response,"The household is likely to respond to pandemic-era events by reducing trips, substituting online delivery for in-person shopping, avoiding public transit, and working remotely."
hhc_000386,0.5,0.7,0.3,0.2,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000429,0.625,0.75,0.5,0.25,0.75,0.875,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000472,0.6,0.7,0.5,0.4,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000514,0.5,0.7,0.3,0.2,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000557,0.65,0.7,0.5,0.4,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000600,0.5,0.7,0.3,0.2,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000643,0.65,0.7,0.45,0.3,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000685,0.6667,0.3333,0.3333,0.3333,0.3333,0.6667,Pandemic-era event-response,"The household is likely to reduce travel due to pandemic restrictions, but may also substitute online delivery for in-person events."
hhc_000728,0.9,0.8,0.7,0.6,0.5,0.95,Pandemic-era event-response,"The household is likely to reduce travel due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000771,0.75,0.5,0.25,0.1,0.3,0.8,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000814,0.625,0.75,0.5,0.25,0.75,0.875,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000856,0.6667,0.3333,0.3333,0.3333,0.3333,0.6667,Pandemic-era event-response,"The household is likely to reduce travel due to the pandemic, but may also substitute online delivery for in-person events."
hhc_000899,0.5,0.7,0.3,0.2,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce travel due to pandemic restrictions, but will also substitute online delivery for some trips."
hhc_000942,0.6,0.7,0.5,0.4,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_000985,0.9,0.8,0.7,0.6,0.5,0.95,Pandemic-era event-response,"The household is likely to reduce travel due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_001028,0.5,0.7,0.3,0.2,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_001070,0.6,0.7,0.5,0.4,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, avoid public transit, and resume remote work."
hhc_001113,0.9,0.8,0.7,0.6,0.5,0.95,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_001156,0.6,0.7,0.5,0.4,0.8,0.9,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_001199,0.629,0.371,0.294,0.143,0.371,0.95,Pandemic-era event-response,"The household is likely to suppress trips, substitute online delivery, avoid transit, and resume remote work post-pandemic."
hhc_001241,0.9,0.8,0.7,0.6,0.5,0.95,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_001284,0.75,0.5,0.25,0.1,0.3,0.8,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, and avoid public transportation."
hhc_001327,0.9,0.8,0.7,0.6,0.5,0.95,Pandemic-era event-response,"The household is likely to reduce trips due to pandemic restrictions, substitute online delivery for in-person shopping, avoid public transit, and resume remote work."
