method,split,mode_group,label,precision,recall,f1,support,weighted_precision,weighted_recall,weighted_f1,weighted_support
historical_prior_2017,validation,private_vehicle,Private vehicle,0.8662967273908454,1.0,0.9283590488871097,160018,0.8271573554817813,1.0,0.905403525317805,152788.37091781967
historical_prior_2017,validation,walk,Walk,0.0,0.0,0.0,16258,0.0,0.0,0.0,19452.454466384897
historical_prior_2017,validation,bike_micromobility,Bike or micromobility,0.0,0.0,0.0,1772,0.0,0.0,0.0,1845.1340824906135
historical_prior_2017,validation,bus_paratransit,"Bus, shuttle, or paratransit",0.0,0.0,0.0,4051,0.0,0.0,0.0,6523.30989991577
historical_prior_2017,validation,rail_transit,Rail transit,0.0,0.0,0.0,895,0.0,0.0,0.0,2065.5085952185127
historical_prior_2017,validation,taxi_ridehail,Taxi or ride-hail,0.0,0.0,0.0,562,0.0,0.0,0.0,889.4693115980582
historical_prior_2017,validation,air_water_other,"Air, water, or other",0.0,0.0,0.0,1159,0.0,0.0,0.0,1150.7527265727715
historical_prior_2017,test_2022,private_vehicle,Private vehicle,0.8820557379159426,1.0,0.9373322161995794,27409,0.8695567985267094,1.0,0.9302277408335037,27020.607957418626
historical_prior_2017,test_2022,walk,Walk,0.0,0.0,0.0,2103,0.0,0.0,0.0,2129.632105910842
historical_prior_2017,test_2022,bike_micromobility,Bike or micromobility,0.0,0.0,0.0,304,0.0,0.0,0.0,302.90796782548756
historical_prior_2017,test_2022,bus_paratransit,"Bus, shuttle, or paratransit",0.0,0.0,0.0,849,0.0,0.0,0.0,1193.7117369149396
historical_prior_2017,test_2022,rail_transit,Rail transit,0.0,0.0,0.0,155,0.0,0.0,0.0,166.27515416898848
historical_prior_2017,test_2022,taxi_ridehail,Taxi or ride-hail,0.0,0.0,0.0,118,0.0,0.0,0.0,141.83015996771434
historical_prior_2017,test_2022,air_water_other,"Air, water, or other",0.0,0.0,0.0,136,0.0,0.0,0.0,119.03491779320596
xgboost_unweighted,validation,private_vehicle,Private vehicle,0.9608482472690859,0.9833956179929758,0.9719911918490631,160018,0.9558553382400005,0.977375030627125,0.9664954115477509,152788.37091781967
xgboost_unweighted,validation,walk,Walk,0.8080253689474326,0.8149833927912412,0.8114894659480647,16258,0.7993227280488568,0.8481411234252636,0.8230086213304127,19452.454466384897
xgboost_unweighted,validation,bike_micromobility,Bike or micromobility,0.5411764705882353,0.1038374717832957,0.17424242424242425,1772,0.44466115328454986,0.11008772783703509,0.176482504745288,1845.1340824906135
xgboost_unweighted,validation,bus_paratransit,"Bus, shuttle, or paratransit",0.7932367149758454,0.6079980251789682,0.6883733929569592,4051,0.7615868992019573,0.6029857218087941,0.6730693831380856,6523.30989991577
xgboost_unweighted,validation,rail_transit,Rail transit,0.6231343283582089,0.37318435754189944,0.46680642907058,895,0.6476045473993323,0.5204770547338187,0.5771228771125014,2065.5085952185127
xgboost_unweighted,validation,taxi_ridehail,Taxi or ride-hail,0.5116279069767442,0.07829181494661921,0.13580246913580246,562,0.5118604488148764,0.1276026582556681,0.20427997550611515,889.4693115980581
xgboost_unweighted,validation,air_water_other,"Air, water, or other",0.8322851153039832,0.3425366695427092,0.48533007334963324,1159,0.8692395716490711,0.259014360853547,0.3991043604517154,1150.7527265727715
xgboost_unweighted,test_2022,private_vehicle,Private vehicle,0.9669242435184516,0.9769783647706958,0.9719253035224943,27409,0.9671595084780664,0.9714496590934157,0.9692998367246495,27020.607957418626
xgboost_unweighted,test_2022,walk,Walk,0.7232375979112271,0.7902995720399429,0.7552828902522154,2103,0.678416576717249,0.7648426746226757,0.7190419164998242,2129.632105910842
xgboost_unweighted,test_2022,bike_micromobility,Bike or micromobility,0.27472527472527475,0.16447368421052633,0.205761316872428,304,0.22205969242517137,0.138795834192153,0.17082160575187316,302.9079678254876
xgboost_unweighted,test_2022,bus_paratransit,"Bus, shuttle, or paratransit",0.7151664611590629,0.6831566548881036,0.6987951807228916,849,0.6852184882688511,0.7249653417480696,0.7045317708882858,1193.7117369149396
xgboost_unweighted,test_2022,rail_transit,Rail transit,0.7,0.13548387096774195,0.22702702702702704,155,0.7296264440659879,0.12285603281051129,0.21030112121489125,166.27515416898848
xgboost_unweighted,test_2022,taxi_ridehail,Taxi or ride-hail,0.07142857142857142,0.00847457627118644,0.015151515151515152,118,0.029097457864778815,0.0021561205550876938,0.004014748401620991,141.83015996771434
xgboost_unweighted,test_2022,air_water_other,"Air, water, or other",0.7777777777777778,0.25735294117647056,0.3867403314917127,136,0.7299221709024221,0.2563693188667628,0.3794611465699566,119.03491779320596
xgboost_survey_weighted,validation,private_vehicle,Private vehicle,0.958287449121761,0.9843080153482733,0.9711234628415351,160018,0.959273592865055,0.9795755911545503,0.9693182992826676,152788.37091781967
xgboost_survey_weighted,validation,walk,Walk,0.8157745770174225,0.7977611022265961,0.8066672886152315,16258,0.8185609413720545,0.858418009235122,0.8380158301638965,19452.454466384897
xgboost_survey_weighted,validation,bike_micromobility,Bike or micromobility,0.5641025641025641,0.08690744920993228,0.1506112469437653,1772,0.7470771681960194,0.1794051160926527,0.28932979801827785,1845.1340824906135
xgboost_survey_weighted,validation,bus_paratransit,"Bus, shuttle, or paratransit",0.7775288092189501,0.5996050357936312,0.6770731707317074,4051,0.7912263554035942,0.6338241121810899,0.7038323956315055,6523.30989991577
xgboost_survey_weighted,validation,rail_transit,Rail transit,0.6257309941520468,0.358659217877095,0.4559659090909091,895,0.6690845928686828,0.5693729540860515,0.6152147437138256,2065.5085952185127
xgboost_survey_weighted,validation,taxi_ridehail,Taxi or ride-hail,0.5975609756097561,0.08718861209964412,0.15217391304347827,562,0.7313394184783456,0.27495418295411833,0.3996543990414096,889.4693115980582
xgboost_survey_weighted,validation,air_water_other,"Air, water, or other",0.789587852494577,0.31406384814495253,0.44938271604938274,1159,0.8204883212967337,0.3797517272799773,0.519199234511411,1150.7527265727715
xgboost_survey_weighted,test_2022,private_vehicle,Private vehicle,0.9634028201356248,0.979641723521471,0.9714544138929089,27409,0.9629675519903306,0.9751515818318256,0.9690212693212685,27020.607957418626
xgboost_survey_weighted,test_2022,walk,Walk,0.7415313225058004,0.7598668568711364,0.7505871301080319,2103,0.704288803917242,0.74538689415243,0.7242552866647732,2129.632105910842
xgboost_survey_weighted,test_2022,bike_micromobility,Bike or micromobility,0.3103448275862069,0.08881578947368421,0.13810741687979539,304,0.20296156151518097,0.07852209595955055,0.11323547059442274,302.90796782548756
xgboost_survey_weighted,test_2022,bus_paratransit,"Bus, shuttle, or paratransit",0.7165644171779141,0.6878680800942285,0.7019230769230769,849,0.7136067364851377,0.7205115553202244,0.717042523660493,1193.7117369149396
xgboost_survey_weighted,test_2022,rail_transit,Rail transit,0.5652173913043478,0.08387096774193549,0.14606741573033707,155,0.48640406430706784,0.04994791436643097,0.09059300428639892,166.27515416898848
xgboost_survey_weighted,test_2022,taxi_ridehail,Taxi or ride-hail,0.24074074074074073,0.11016949152542373,0.1511627906976744,118,0.4292922456319584,0.20054357971443998,0.2733785542774886,141.83015996771434
xgboost_survey_weighted,test_2022,air_water_other,"Air, water, or other",0.5942028985507246,0.3014705882352941,0.4,136,0.620324230219216,0.27007383530156676,0.3763111140359622,119.03491779320595
xgboost_class_balanced,validation,private_vehicle,Private vehicle,0.9893335913715974,0.8306190553562725,0.9030557301309599,160018,0.9905814491088234,0.8037851351382516,0.887460400709007,152788.37091781967
