method,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,runs,abs_weighted_bias,method_family,llm_request_cost,llm_request_cost_norm,performance_pareto,deployment_pareto,weighted_mae_ci_width,weighted_mae_bootstrap_std,uncertainty_covered,weighted_mae_ci_width_for_selection,uncertainty_pareto
llm_trip_suppression_a1p25,2.4923767754315085,3.6648069200275946,-0.7164180069138582,0.1999809971075978,2.4819721675202358,3.660097422309285,-0.5403961310609204,0.2243887022540729,1,0.5403961310609204,llm_event_adapter,89,1.0,True,True,0.15918656982276547,0.0404977928217879,True,0.15918656982276547,True
gated_trip_suppression_a1p25_d0p05,2.504713053359169,3.695632410417389,-0.8101698641608364,0.1864661282161964,2.489996223069124,3.684372914016009,-0.6318506380005368,0.2140661437650765,1,0.6318506380005368,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a1p25_d0p1,2.520855100926581,3.7399572062843554,-0.9116930625801885,0.1668343218537219,2.4970554623990795,3.714093560085644,-0.7285115515282903,0.2013352529969277,1,0.7285115515282903,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a1p25_d0p15,2.526126304979672,3.792563311924447,-1.1071274524406671,0.1432309210347186,2.500199665112892,3.7643789067660873,-0.9285045229220792,0.1795625081320815,1,0.9285045229220792,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a1_d0p15,2.4738369894694108,3.587177276821952,-0.2532417866863675,0.2335147797043013,2.5022798339489665,3.6038437615055248,-0.0230380080847422,0.2480469156622738,1,0.0230380080847422,gated_llm_adapter,89,1.0,True,True,0.15157501573173437,0.0378538662140731,True,0.15157501573173437,True
global_trip_suppression_a1p25,2.5276070439309843,3.768972483116596,-0.9914545587400756,0.1538564685260329,2.522331852502907,3.743187105215461,-0.7477032340364844,0.1887739130528118,1,0.7477032340364844,global_event_prior,1,0.011235955056179775,False,True,0.15921066266952622,0.0401877892366021,True,0.15921066266952622,False
gated_trip_suppression_a1_d0p1,2.508796739909321,3.587288602434049,-0.0968942747979842,0.2334672042689113,2.537400977118662,3.609063870877688,0.1369563690302888,0.2458669542359248,1,0.1369563690302888,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a1_d0p05,2.515048853091905,3.575159114765881,-0.0156757160625026,0.2386421050496536,2.548171191635902,3.609467991119759,0.2142850998524919,0.2456980586427802,1,0.2142850998524919,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
global_trip_suppression_a1,2.493940275086195,3.590593388229278,-0.1600445200623705,0.2320542186733926,2.5530939118909326,3.627152030273807,0.1228741545977456,0.2382887775212787,1,0.1228741545977456,global_event_prior,1,0.011235955056179775,False,True,,,False,0.20841925298013841,False
llm_trip_suppression_a1,2.5228085069132,3.5699287755465967,0.0593257697350804,0.2408681582383829,2.5614570285373293,3.6104098711656576,0.2874487054041855,0.2453043415380034,1,0.2874487054041855,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
global_recovery_pressure_a1p25,2.501536950626449,3.585311751607722,-0.081054955364435,0.2343117995238731,2.567391313882335,3.629240971584258,0.2055848818743265,0.2374111588179341,1,0.2055848818743265,global_event_prior,1,0.011235955056179775,False,False,,,False,0.20841925298013841,False
random_recovery_pressure_a1p25,2.5676946086177765,3.649415737257905,-0.037525542261842085,0.20667390713701844,2.643141567994553,3.7075919458074855,0.25549831976674253,0.20410584891201417,5,0.25549831976674253,negative_control,0,0.0,False,True,,,False,0.20841925298013841,False
random_trip_suppression_a1p25,2.6333157406884213,3.883167627624607,-0.8904195525882423,0.10178553787294489,2.6465772253216584,3.8807201984590627,-0.6367603088050506,0.12803791936095593,5,0.6367603088050506,negative_control,0,0.0,False,False,,,False,0.20841925298013841,False
llm_recovery_pressure_a1p25,2.583738539441728,3.672094488324007,-0.0508576134579132,0.1967961145213104,2.648186070007601,3.730565953780295,0.1995772276494239,0.1942352196397693,1,0.1995772276494239,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
random_trip_suppression_a1,2.588899060399152,3.6862150099613684,-0.08048542035186323,0.19059572624974966,2.661458692633727,3.7417053682522363,0.2103253200255592,0.18939841202637464,5,0.2103253200255592,negative_control,0,0.0,False,True,,,False,0.20841925298013841,False
llm_only_trip_suppression_a1p25,2.7217604205004746,3.967074344504491,-0.3657389915492726,0.0625701376724664,2.717513370990674,3.987614222512788,-0.3732485886307166,0.079370030598061,1,0.3732485886307166,llm_only_prior,89,1.0,False,False,0.17557953658183134,0.0440382525829982,True,0.17557953658183134,False
gated_trip_suppression_a0p75_d0p15,2.6443447813793406,3.6198591757706704,0.6014675686473376,0.2194846364041489,2.745799674993658,3.715285191570622,0.8840174212201105,0.2008226828544367,1,0.8840174212201105,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
global_recovery_pressure_a1,2.642775587645102,3.621309800407805,0.5682751626381429,0.2188589426258275,2.764740718999714,3.732294473762376,0.8855046473263953,0.1934883607414947,1,0.8855046473263953,global_event_prior,1,0.011235955056179775,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a0p75_d0p1,2.68565952799252,3.6527157632629392,0.7187282025636252,0.205251232759662,2.787154941764485,3.7530596655507567,1.004013204056384,0.1844890937960054,1,1.004013204056384,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a0p75_d0p05,2.700574795299848,3.661934708654231,0.7796421216152364,0.2012345001132908,2.8041549016768377,3.7711755339111512,1.0620097521730365,0.1765972159453992,1,1.0620097521730365,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
global_trip_suppression_a0p75,2.6746444572974903,3.639879597428219,0.6713655186153354,0.2108271400136189,2.805288712522088,3.762240954816856,0.9934515432319766,0.1804941666482196,1,0.9934515432319766,global_event_prior,1,0.011235955056179775,False,False,,,False,0.20841925298013841,False
random_recovery_pressure_a1,2.6825409578394876,3.669998084032899,0.603098693120217,0.1977049737524917,2.8098192154537083,3.791429402893493,0.925435397640328,0.16771239160005744,5,0.925435397640328,negative_control,0,0.0,False,False,,,False,0.20841925298013841,False
llm_recovery_pressure_a1,2.697012625939589,3.683978221774701,0.59243303616336,0.1915890013020743,2.810051722522859,3.799353396266097,0.8806985239464731,0.164246472440848,1,0.8806985239464731,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
llm_trip_suppression_a0p75,2.717820308707928,3.672852086788526,0.8358932359634238,0.1964646585615438,2.8250925011637977,3.7866792408589847,1.1168824563368065,0.1698131051948361,1,1.1168824563368065,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
random_trip_suppression_a0p75,2.7307688679863977,3.7094895956496807,0.7310348433982159,0.18034836122105255,2.8699533736460356,3.8448969803628947,1.0590399173028366,0.14407869747557894,5,1.0590399173028366,negative_control,0,0.0,False,False,,,False,0.20841925298013841,False
llm_confidence_pressure_a1p25,2.827474564190664,3.77039358748545,1.005333117951092,0.1532182654241485,2.9781725502138903,3.929585121168718,1.3230665719521857,0.1059697013370776,1,1.3230665719521857,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
llm_only_trip_suppression_a1,2.9805087818541938,3.9977264936199273,0.5848094850915367,0.0480278090132479,2.992723944196792,4.023205873047428,0.5984350077235565,0.06286243036568,1,0.5984350077235565,llm_only_prior,89,1.0,False,False,,,False,0.20841925298013841,False
global_recovery_pressure_a0p75,2.878796492404112,3.793603182139522,1.2176052806407207,0.1427610273435672,3.0558914345915853,3.977333037254133,1.565424412778464,0.08411119401947,1,1.565424412778464,global_event_prior,1,0.011235955056179775,False,False,,,False,0.20841925298013841,False
